query,tag
"Get all headers","h1,h2,h3"
"Show me the titles","h1,h2,h3"
"List all headings","h1,h2,h3"
"Fetch all title tags","h1,h2,h3"
"Extract all header elements","h1,h2,h3"
"Display the main headings","h1,h2,h3"
"Pull out all heading tags","h1,h2,h3"
"Scrape titles from the page","h1,h2,h3"
"Get page titles","h1,h2,h3"
"Grab heading tags","h1,h2,h3"
"Get all links","a"
"Fetch hyperlinks","a"
"Show me all URLs","a"
"Find all anchor tags","a"
"List all references","a"
"Retrieve anchor elements","a"
"Grab all hrefs","a"
"Find links in the document","a"
"Extract clickable links","a"
"Get all hyperlinks","a"
"Extract images","img"
"Get all pictures","img"
"List image tags","img"
"Fetch all photos","img"
"Find visual content","img"
"Scrape all image sources","img"
"Display all images","img"
"Get all <img> tags","img"
"Extract pictures from page","img"
"Pull image links","img"
"Get text content","p"
"Extract paragraphs","p"
"List all text blocks","p"
"Fetch all written content","p"
"Find paragraphs","p"
"Display all paragraph tags","p"
"Scrape text from page","p"
"Grab paragraph elements","p"
"Get all paragraphs","p"
"Read textual content","p"
"Get table data","table"
"Extract tables","table"
"Find all data tables","table"
"List tabular data","table"
"Fetch all tables","table"
"Scrape table content","table"
"Display table elements","table"
"Grab all HTML tables","table"
"Extract spreadsheet-style data","table"
"Get form data","form"
"Extract forms","form"
"Find all input fields","input"
"List form fields","form"
"Show me form tags","form"
"Scrape HTML forms","form"
"Pull out all forms","form"
"Get video elements","video"
"Find all videos","video"
"Extract video content","video"
"List media players","video"
"Fetch video tags","video"
"Scrape embedded videos","video"
"Grab video sources","video"
"Get all scripts","script"
"Extract JavaScript tags","script"
"Find embedded scripts","script"
"List script elements","script"
"Show me script blocks","script"
"Scrape all JavaScript","script"
"Pull script content","script"
"Find meta tags","meta"
"Get meta information","meta"
"Extract metadata","meta"
"Fetch all meta elements","meta"
"Get link tags","link"
"Find stylesheet links","link"
"Extract rel attributes","link"
"Get div elements","div"
"List all sections","div"
"Find containers","div"
"Get all links from the page","a"
"List out all hyperlinks","a"
"Fetch all URLs on the website","a"
"Extract all anchor tags","a"
"Pull all href links","a"
"Display all hyperlinks","a"
"Retrieve all links from HTML","a"
"Find all anchor elements","a"
"Show all clickable links","a"
"List all website URLs","a"
"Show image elements","img"
"Get all pictures from the page","img"
"Extract image tags","img"
"List all image sources","img"
"Show me all photos","img"
"Fetch image elements","img"
"Retrieve all photo links","img"
"Get all visual content","img"
"Scrape image tags","img"
"Extract all photo URLs","img"
"Get all text from the page","p"
"Find all paragraphs","p"
"Extract text blocks","p"
"Fetch all paragraphs","p"
"List all written content","p"
"Display text content","p"
"Get all paragraph elements","p"
"Pull out text from page","p"
"Show me text content","p"
"Get all table rows","table"
"List all data tables","table"
"Retrieve table data","table"
"Extract all tables from HTML","table"
"Get data from tables","table"
"Show all tabular data","table"
"List all table rows","table"
"Fetch table data rows","table"
"Extract all table columns","table"
"Get all form fields","form"
"List all form inputs","form"
"Fetch form data elements","form"
"Find all form tags","form"
"Scrape all form fields","form"
"Extract HTML forms","form"
"Get all form tags from page","form"
"Display input elements","input"
"Find all input fields","input"
"Get all textboxes","input"
"List form input elements","input"
"Retrieve input tags","input"
"Show all image sources","img"
"Extract all pictures from page","img"
"List all sources of images","img"
"Get all video tags","video"
"Find all embedded video tags","video"
"List video elements","video"
"Scrape all video sources","video"
"Get all video player tags","video"
"Extract all videos from page","video"
"Show video content","video"
"Find all script tags","script"
"Get JavaScript elements","script"
"Extract all JavaScript blocks","script"
"List all script tags","script"
"Find embedded scripts","script"
"Scrape JavaScript code","script"
"Get all JavaScript files","script"
"Extract all embedded scripts","script"
"Show meta tags","meta"
"List all metadata","meta"
"Get meta tag content","meta"
"Find meta elements","meta"
"Extract meta tags from page","meta"
"Retrieve meta information","meta"
"Get link elements","link"
"List all CSS links","link"
"Find stylesheet links","link"
"Extract all link tags","link"
"Get all div tags","div"
"Show div elements","div"
"List sections of page","div"
"Find container tags","div"
"Show all header tags","header"
"Find header elements","header"
"Retrieve page header tags","header"
"List all header sections","header"
"Extract header content","header"
"Get all nav tags","nav"
"Find navigation links","nav"
"List navigation elements","nav"
"Extract navbar tags","nav"
"Get all footer tags","footer"
"Find footer elements","footer"
"List footer sections","footer"
"Display all footer tags","footer"
"Get all aside tags","aside"
"Extract aside content","aside"
"Find side panel elements","aside"
"List all aside tags","aside"
"Show all section tags","section"
"Get all section headers","section"
"List all section elements","section"
"Extract section tags","section"
"Show all article elements","article"
"Retrieve article tags","article"
"Find article content","article"
"List all article sections","article"
"Get all figure tags","figure"
"Extract figure elements","figure"
"Find all figure content","figure"
"Display all figure tags","figure"
"Get all main tags","main"
"Find main content","main"
"List all main elements","main"
"Display content from main","main"
"Get all header links","header"
"Find all navbar items","nav"
"Extract sidebar content","aside"
"List all media links","link"
"Find all iframe tags","iframe"
